date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:35:27	50240/50240	---M-Z	200	added ('OK')	text/html	etag:%22c440-68c2698a-99ab4146be6a30cd;gz%22	https://html.themewant.com/moonlit/about.html	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/about.html	(from https://html.themewant.com/moonlit/room-one.html)
16:35:28	39341/39341	---M-Z	200	added ('OK')	text/html	etag:%2299ad-68c2698a-27390de65e12c0f9;gz%22	https://html.themewant.com/moonlit/gallery.html	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/gallery.html	(from https://html.themewant.com/moonlit/room-one.html)
16:35:30	47381/47381	---M-Z	200	added ('OK')	text/html	etag:%22b915-68c2698a-af74249c6ea0f140;gz%22	https://html.themewant.com/moonlit/service.html	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/service.html	(from https://html.themewant.com/moonlit/room-one.html)
16:35:30	41551/41551	---M-Z	200	added ('OK')	text/html	etag:%22a24f-68c2698a-be99f146c839d35f;gz%22	https://html.themewant.com/moonlit/event.html	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/event.html	(from https://html.themewant.com/moonlit/room-one.html)
16:35:31	39975/39975	---M-Z	200	added ('OK')	text/html	etag:%229c27-68c2698a-89b50ed3fd768a92;gz%22	https://html.themewant.com/moonlit/activities.html	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/activities.html	(from https://html.themewant.com/moonlit/room-one.html)
16:35:31	47424/47424	---M-Z	200	added ('OK')	text/html	etag:%22b940-68c2698a-dab93c31057a42f8;gz%22	https://html.themewant.com/moonlit/blog.html	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/blog.html	(from https://html.themewant.com/moonlit/room-one.html)
16:35:32	44306/44306	---M-Z	200	added ('OK')	text/html	etag:%22ad12-68c2698a-cb7969601380d323;gz%22	https://html.themewant.com/moonlit/blog-details.html	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/blog-details.html	(from https://html.themewant.com/moonlit/room-one.html)
16:35:32	37933/37933	---M-Z	200	added ('OK')	text/html	etag:%22942d-68c2698a-b10db88b440c4068;gz%22	https://html.themewant.com/moonlit/contact.html	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/contact.html	(from https://html.themewant.com/moonlit/room-one.html)
16:35:33	12025/12025	---M-Z	200	added ('OK')	image/svg+xml	etag:%222ef9-68c2698a-962ad9288493da24;gz%22	https://html.themewant.com/moonlit/assets/images/logo/logo.svg	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/logo/logo.svg	(from https://html.themewant.com/moonlit/room-one.html)
16:35:33	397/397	---M-Z	200	added ('OK')	image/svg+xml	etag:%2218d-68c2698a-bdc8e6216ef88fd7;gz%22	https://html.themewant.com/moonlit/assets/images/icon/menu-icon.svg	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/icon/menu-icon.svg	(from https://html.themewant.com/moonlit/room-one.html)
